grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_49,psal_qc,LogisticRegression,0.6898,0.2833,0.7877,0.6935,0.2153,0.8097,2401.25,2098888,97026,253887
Grid_50,temp_qc,RandomForest,0.9769,0.4231,0.985,0.9798,0.2508,0.9889,2105.94,4267064,189090,330833
Grid_50,temp_qc,ExtraTrees,0.939,0.322,0.9647,0.9492,0.2477,0.9731,667.66,4267064,189090,330833
Grid_50,temp_qc,XGBoost,0.9644,0.3627,0.9783,0.9498,0.2476,0.9734,597.67,4267064,189090,330833
Grid_50,temp_qc,CatBoost,0.889,0.2756,0.9371,0.8938,0.2403,0.9431,1783.38,4267064,189090,330833
Grid_50,temp_qc,LightGBM,0.9552,0.3497,0.9734,0.9433,0.2533,0.97,351.4,4267064,189090,330833
Grid_50,temp_qc,LogisticRegression,0.5153,0.1764,0.6765,0.5506,0.1792,0.7093,10330.05,4267064,189090,330833
Grid_50,psal_qc,RandomForest,0.9192,0.5876,0.9385,0.8938,0.236,0.9439,2515.14,4127344,189090,330833
Grid_50,psal_qc,ExtraTrees,0.871,0.4503,0.9075,0.8708,0.2327,0.9309,23735.62,4127344,189090,330833
Grid_50,psal_qc,XGBoost,0.8955,0.5188,0.9232,0.881,0.2342,0.9367,681.54,4127344,189090,330833
Grid_50,psal_qc,CatBoost,0.822,0.3746,0.8765,0.7974,0.2218,0.8873,1846.02,4127344,189090,330833
Grid_50,psal_qc,LightGBM,0.8735,0.4623,0.909,0.8736,0.2331,0.9325,365.26,4127344,189090,330833
Grid_50,psal_qc,LogisticRegression,0.6296,0.2384,0.7486,0.7768,0.2186,0.8744,4938.6,4127344,189090,330833
Grid_51,temp_qc,RandomForest,0.9999,0.4444,0.9998,0.9998,0.4999,0.9997,624.47,616677,36279,25999
Grid_51,temp_qc,ExtraTrees,0.9998,0.4666,0.9998,0.9996,0.4999,0.9996,128.23,616677,36279,25999
Grid_51,temp_qc,XGBoost,0.9999,0.8571,0.9999,0.9997,0.4999,0.9996,586.79,616677,36279,25999
Grid_51,temp_qc,CatBoost,0.9995,0.4333,0.9997,0.9978,0.333,0.9987,1048.54,616677,36279,25999
Grid_51,temp_qc,LightGBM,0.9999,0.8571,0.9999,0.9997,0.4999,0.9996,2106.22,616677,36279,25999
Grid_51,temp_qc,LogisticRegression,0.9376,0.4898,0.9677,0.9083,0.3173,0.9517,583.88,616677,36279,25999
Grid_51,psal_qc,RandomForest,0.9909,0.9231,0.9911,0.9692,0.3281,0.9843,116.52,205580,36279,25999
Grid_51,psal_qc,ExtraTrees,0.9706,0.7736,0.9743,0.8625,0.3087,0.9261,38.96,205580,36279,25999
Grid_51,psal_qc,XGBoost,0.9989,0.9942,0.9989,0.9622,0.3269,0.9807,1314.29,205580,36279,25999
Grid_51,psal_qc,CatBoost,0.9572,0.7351,0.9648,0.8192,0.3002,0.9006,482.49,205580,36279,25999
Grid_51,psal_qc,LightGBM,0.9937,0.9692,0.9939,0.844,0.3051,0.9154,1196.98,205580,36279,25999
Grid_51,psal_qc,LogisticRegression,0.6483,0.3265,0.7591,0.6099,0.2526,0.7577,1305.2,205580,36279,25999
